doc_id,pet_id,pet_name,storage_key,file_name,file_present,mime_stored,mime_used_for_classification,db_title,db_category,db_document_date,db_establishment,db_size_bytes,db_created_at,bytes_read,classified_category,classified_document_date,classified_establishment,classification_path,uncertainty_note
64c9192e-8837-4ec3-89c9-f02cf735901d,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/510aa496e10f48348eaa3da90a3cf87c_2477_BABY_Laudo_descritivo_Outro.pdf,510aa496e10f48348eaa3da90a3cf87c_2477_BABY_Laudo_descritivo_Outro.pdf,True,application/pdf,application/pdf,2477_BABY_Laudo_descritivo_Outro,report,2025-09-11,,667949,2026-02-24T03:08:31+00:00,667949,report,2025-09-11,DUE DIAGNÓSTICO POR IMAGEM,gemini,model_output_no_extra_flags
7e882f6f-3b4d-4dc4-b7f3-299fbdf7e317,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/f6345069b8dd41309464aad7574bc2ac_2477_BABY_Laudo_descritivo_Outro_1.pdf,f6345069b8dd41309464aad7574bc2ac_2477_BABY_Laudo_descritivo_Outro_1.pdf,True,application/pdf,application/pdf,2477_BABY_Laudo_descritivo_Outro_1,report,2025-09-11,,1843738,2026-02-24T03:08:31+00:00,1843738,report,2025-09-11,DUE DIAGNÓSTICO POR IMAGEM,gemini,model_output_no_extra_flags
61daee60-8929-4df4-a17f-9edb6b5d2e33,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/de510cea1a07403bbddcc8a5c66e1477_imagem_65922350_baby.png,de510cea1a07403bbddcc8a5c66e1477_imagem_65922350_baby.png,True,image/png,image/png,imagem_65922350_baby,report,2025-09-11,Due Diagnóstico por Imagem,263668,2026-02-24T03:08:31+00:00,263668,exam,2001-06-14,,gemini,no_establishment_detected
efcbbb2f-3765-4e27-9e41-cc728b45cf86,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/1e8dd9ad93764082b95fbe280f7be970_imagem_65922528_baby.png,1e8dd9ad93764082b95fbe280f7be970_imagem_65922528_baby.png,True,image/png,image/png,imagem_65922528_baby,report,2025-09-11,Due Diagnóstico por Imagem,259245,2026-02-24T03:08:31+00:00,259245,exam,2014-06-01,,gemini,no_establishment_detected
8293db1c-1af1-4241-93ce-e6f31364d8c5,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/7a4b70f6667c41babe5c9035029dcccc_imagem_65922604_baby.png,7a4b70f6667c41babe5c9035029dcccc_imagem_65922604_baby.png,True,image/png,image/png,imagem_65922604_baby,report,2025-09-11,Due Diagnóstico por Imagem,249096,2026-02-24T03:08:31+00:00,249096,exam,2001-06-14,,gemini,no_establishment_detected
9ddebb6c-9ba8-4c43-9b9c-bce2f39f00af,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/10bc50c5a4b74616aac2546a2eab9987_imagem_65922662_baby.png,10bc50c5a4b74616aac2546a2eab9987_imagem_65922662_baby.png,True,image/png,image/png,imagem_65922662_baby,report,2025-09-11,Due Diagnóstico por Imagem,281951,2026-02-24T03:08:31+00:00,281951,exam,2001-06-14,,gemini,no_establishment_detected
cb3b4e7d-654a-4520-81da-e78353ffce9b,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/f59c3d5939a54da38d7b58f1f320ed35_imagem_65922705_baby.png,f59c3d5939a54da38d7b58f1f320ed35_imagem_65922705_baby.png,True,image/png,image/png,imagem_65922705_baby,report,2025-09-11,Due Diagnóstico por Imagem,279114,2026-02-24T03:08:31+00:00,279114,exam,2001-06-14,,gemini,no_establishment_detected
8068418d-5153-4575-a05d-bfc60f0060de,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/e3bff1ceedab40fd8f503216bf377c8e_imagem_65922757_baby.png,e3bff1ceedab40fd8f503216bf377c8e_imagem_65922757_baby.png,True,image/png,image/png,imagem_65922757_baby,report,2025-09-11,Due Diagnóstico por Imagem,262770,2026-02-24T03:08:31+00:00,262770,exam,,,gemini,no_date_detected;no_establishment_detected
aa35afb0-d51d-494e-b404-743bcdd5511b,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/5558fdb703554ed38d25d11f12cbf681_imagem_65922988_baby.png,5558fdb703554ed38d25d11f12cbf681_imagem_65922988_baby.png,True,image/png,image/png,imagem_65922988_baby,report,2025-09-11,Due Diagnóstico por Imagem,218650,2026-02-24T03:08:31+00:00,218650,exam,2001-06-14,,gemini,no_establishment_detected
63834d55-ec6d-4bed-a5ba-ee189f2f9896,8c1eb0e9-337c-4c22-b204-d5f9947e95ba,Baby,/Users/leonardomol/PETMOL/services/price-service/uploads/pet_documents/cadc6db465f7480281d05b2dbc053861_imagem_65923114_baby.png,cadc6db465f7480281d05b2dbc053861_imagem_65923114_baby.png,True,image/png,image/png,imagem_65923114_baby,report,2025-09-11,Due Diagnóstico por Imagem,250651,2026-02-24T03:08:31+00:00,250651,exam,2001-06-14,,gemini,no_establishment_detected
